oa_code,oa_desc,oa_short_desc,grade_code,subject_code,bloom_level,cog_skill,oa_version,semester,complexity_level,estimated_hours,ministerial_priority,is_transversal,enriched_at
MA02OA11,Demostrar que comprende la multiplicación:,Demostrar que comprende la multiplicación:,2B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.503328
MA02OA12,"Crear, representar y continuar una variedad de patrones numéricos y completar los elementos faltantes, de manera manual y/o usando software educativo.","Crear, representar y continuar una variedad de patrones numéricos y completar los elementos faltante...",2B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.503328
MA02OA13,"Demostrar, explicar y registrar la igualdad y la desigualdad en forma concreta y pictórica del 0 al 20, usando el símbolo igual (=) y los símbolos no igual (>, <).","Demostrar, explicar y registrar la igualdad y la desigualdad en forma concreta y pictórica del 0 al ...",2B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.503328
MA02OA14,"Representar y describir la posición de objetos y personas en relación a sí mismos y a otros objetos y personas, incluyendo derecha e izquierda y usando material concreto y dibujos.",Representar y describir la posición de objetos y personas en relación a sí mismos y a otros objetos ...,2B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.503328
MA02OA15,"Describir, comparar y construir figuras 2D (triángulos, cuadrados, rectángulos y círculos) con material concreto.","Describir, comparar y construir figuras 2D (triángulos, cuadrados, rectángulos y círculos) con mater...",2B,MAT,Comprender,espacial,2023,1,2,4,normal,False,2025-07-07T16:13:46.503328
MA02OA16,"Describir, comparar y construir figuras 3D (cubos, paralelepípedos, esferas y conos) con diversos materiales.","Describir, comparar y construir figuras 3D (cubos, paralelepípedos, esferas y conos) con diversos ma...",2B,MAT,Comprender,espacial,2023,1,2,4,normal,False,2025-07-07T16:13:46.503328
MA02OA17,"Identificar días, semanas, meses y fechas en el calendario.","Identificar días, semanas, meses y fechas en el calendario.",2B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.503328
MA02OA18,"Leer horas y medias horas en relojes digitales, en el contexto de la resolución de problemas.","Leer horas y medias horas en relojes digitales, en el contexto de la resolución de problemas.",2B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.503328
MA02OA19,"Determinar la longitud de objetos, usando unidades de medidas no estandarizadas y unidades estandarizadas (cm y m), en el contexto de la resolución de problemas.","Determinar la longitud de objetos, usando unidades de medidas no estandarizadas y unidades estandari...",2B,MAT,Analizar,mantener,2023,1,4,4,normal,False,2025-07-07T16:13:46.503328
MA02OA20,"Recolectar y registrar datos para responder preguntas estadísticas sobre juegos con monedas y dados, usando bloques y tablas de conteo y pictogramas.","Recolectar y registrar datos para responder preguntas estadísticas sobre juegos con monedas y dados,...",2B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.503328
MA02OA21,"Registrar en tablas y gráficos de barra simple, resultados de juegos aleatorios con dados y monedas.","Registrar en tablas y gráficos de barra simple, resultados de juegos aleatorios con dados y monedas.",2B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.503328
MA02OA22,"Construir, leer e interpretar pictogramas con escala y gráficos de barra simple.","Construir, leer e interpretar pictogramas con escala y gráficos de barra simple.",2B,MAT,Crear,mantener,2023,1,4,4,normal,False,2025-07-07T16:13:46.503328
LE02OA01,"Leer textos significativos que incluyan palabras con hiatos y diptongos, con grupos consonánticos y con combinación ce-ci, que-qui, ge-gi, gue-gui, güe-güi.","Leer textos significativos que incluyan palabras con hiatos y diptongos, con grupos consonánticos y ...",2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.503328
LE02OA02,Leer en voz alta para adquirir fluidez,Leer en voz alta para adquirir fluidez,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.503328
LE02OA03,Comprender textos aplicando estrategias de comprensión lectora,Comprender textos aplicando estrategias de comprensión lectora,2B,LEN,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.503328
LE02OA04,Leer independientemente y ampliar repertorio de lecturas,Leer independientemente y ampliar repertorio de lecturas,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.503328
LE02OA05,Demostrar comprensión de las narraciones leídas,Demostrar comprensión de las narraciones leídas,2B,LEN,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.503328
LE02OA06,Leer habitualmente y disfrutar los mejores poemas de autor y de la tradición oral adecuados a su edad.,Leer habitualmente y disfrutar los mejores poemas de autor y de la tradición oral adecuados a su eda...,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA07,Leer independientemente y comprender textos no literarios,Leer independientemente y comprender textos no literarios,2B,LEN,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.504482
LE02OA08,"Desarrollar el gusto por la lectura, leyendo habitualmente diversos textos.","Desarrollar el gusto por la lectura, leyendo habitualmente diversos textos.",2B,LEN,Aplicar,mantener,2023,1,4,4,normal,False,2025-07-07T16:13:46.504482
LE02OA09,"Asistir habitualmente a la biblioteca para encontrar información y elegir libros, cuidando el material en favor del uso común.","Asistir habitualmente a la biblioteca para encontrar información y elegir libros, cuidando el materi...",2B,LEN,Analizar,memorizar,2023,1,4,4,normal,False,2025-07-07T16:13:46.504482
LE02OA10,"Buscar información sobre un tema en una fuente dada por el docente (página de internet, sección del diario, capítulo de un libro, etc.), para llevar a cabo una investigación.","Buscar información sobre un tema en una fuente dada por el docente (página de internet, sección del ...",2B,LEN,Recordar,memorizar,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA11,Desarrollar la curiosidad por las palabras o expresiones que desconocen y adquirir el hábito de averiguar su significado.,Desarrollar la curiosidad por las palabras o expresiones que desconocen y adquirir el hábito de aver...,2B,LEN,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.504482
LE02OA12,"Escribir frecuentemente, para desarrollar la creatividad y expresar sus ideas, textos como poemas, diarios de vida, anécdotas, cartas, recados, etc.","Escribir frecuentemente, para desarrollar la creatividad y expresar sus ideas, textos como poemas, d...",2B,LEN,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.504482
LE02OA13,"Escribir creativamente narraciones (experiencias personales, relatos de hechos, cuentos, etc.) que tengan inicio, desarrollo y desenlace.","Escribir creativamente narraciones (experiencias personales, relatos de hechos, cuentos, etc.) que t...",2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA14,Escribir artículos informativos para comunicar información sobre un tema.,Escribir artículos informativos para comunicar información sobre un tema.,2B,LEN,Recordar,memorizar,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA15,"Escribir con letra clara, separando las palabras con un espacio para que puedan ser leídas por otros con facilidad.","Escribir con letra clara, separando las palabras con un espacio para que puedan ser leídas por otros...",2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA16,Planificar la escritura,Planificar la escritura,2B,LEN,Crear,mantener,2023,1,5,4,normal,False,2025-07-07T16:13:46.504482
LE02OA17,Revisión y edición de textos propios para transmitir ideas claramente,Revisión y edición de textos propios para transmitir ideas claramente,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA18,Incorporar de manera pertinente en la escritura el vocabulario nuevo extraído de textos escuchados o leídos.,Incorporar de manera pertinente en la escritura el vocabulario nuevo extraído de textos escuchados o...,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA19,"Comprender la función de los artículos, sustantivos y adjetivos en textos orales y escritos, y reemplazarlos o combinarlos de diversas maneras para enriquecer o precisar sus producciones.","Comprender la función de los artículos, sustantivos y adjetivos en textos orales y escritos, y reemp...",2B,LEN,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.504482
LE02OA20,Identificar el género y número de las palabras para asegurar la concordancia en sus escritos.,Identificar el género y número de las palabras para asegurar la concordancia en sus escritos.,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA21,Escribir correctamente para facilitar la comprensión al lector,Escribir correctamente para facilitar la comprensión al lector,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.504482
LE02OA22,Comprender y disfrutar versiones completas de obras narradas por un adulto,Comprender y disfrutar versiones completas de obras narradas por un adulto,2B,LEN,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.504482
LE02OA23,Comprender textos orales para obtener información y desarrollar curiosidad,Comprender textos orales para obtener información y desarrollar curiosidad,2B,LEN,Aplicar,memorizar,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
LE02OA24,"Disfrutar de la experiencia de asistir a obras de teatro infantiles o representaciones para ampliar sus posibilidades de expresión, desarrollar su creatividad y familiarizarse con el género.",Disfrutar de la experiencia de asistir a obras de teatro infantiles o representaciones para ampliar ...,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.505480
LE02OA25,Participar activamente en conversaciones grupales sobre textos,Participar activamente en conversaciones grupales sobre textos,2B,LEN,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.505480
MA03OA01,"Contar números del 0 al 1 000 de 5 en 5, de 10 en 10, de 100 en 100:","Contar números del 0 al 1 000 de 5 en 5, de 10 en 10, de 100 en 100:",3B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.505480
MA03OA02,"Leer números hasta 1 000 y representarlos en forma concreta, pictórica y simbólica.","Leer números hasta 1 000 y representarlos en forma concreta, pictórica y simbólica.",3B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.505480
MA03OA03,"Comparar y ordenar números naturales hasta   1 000, utilizando la recta numérica o la tabla posicional de manera manual y/o por medio de software educativo.","Comparar y ordenar números naturales hasta   1 000, utilizando la recta numérica o la tabla posicion...",3B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.505480
MA03OA04,Describir y aplicar estrategias de cálculo mental para las adiciones y sustracciones hasta 100:,Describir y aplicar estrategias de cálculo mental para las adiciones y sustracciones hasta 100:,3B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.505480
MA03OA05,"Identificar y describir las unidades, decenas y centenas en números del 0 al 1 000, representando las cantidades de acuerdo a su valor posicional, con material concreto, pictórico y simbólico.","Identificar y describir las unidades, decenas y centenas en números del 0 al 1 000, representando la...",3B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.505480
MA03OA06,Demostrar que comprenden la adición y la sustracción de números del 0 al 1 000:,Demostrar que comprenden la adición y la sustracción de números del 0 al 1 000:,3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
MA03OA07,"Demostrar que comprenden la relación entre la adición y la sustracción, usando la ""familia de operaciones"" en cálculos aritméticos y en la resolución de problemas.","Demostrar que comprenden la relación entre la adición y la sustracción, usando la ""familia de operac...",3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
MA03OA08,Demostrar que comprenden las tablas de multiplicar hasta 10 de manera progresiva:,Demostrar que comprenden las tablas de multiplicar hasta 10 de manera progresiva:,3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
MA03OA09,Demostrar que comprenden la división en el contexto de las tablas de hasta 10x10:,Demostrar que comprenden la división en el contexto de las tablas de hasta 10x10:,3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
MA03OA10,"Resolver problemas rutinarios en contextos cotidianos, que incluyan dinero e involucren las cuatro operaciones (no combinadas).","Resolver problemas rutinarios en contextos cotidianos, que incluyan dinero e involucren las cuatro o...",3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
MA03OA11,"Demostrar que comprenden las fracciones de uso común: 1/4 , 1/3 , 1/2 , 2/3 , 3/4:","Demostrar que comprenden las fracciones de uso común: 1/4 , 1/3 , 1/2 , 2/3 , 3/4:",3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
MA03OA12,"Generar, describir y registrar patrones numéricos, usando una variedad de estrategias en tablas del 100, de manera manual y/o con software educativo.","Generar, describir y registrar patrones numéricos, usando una variedad de estrategias en tablas del ...",3B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.505480
MA03OA13,"Resolver ecuaciones de un paso que involucren adiciones y sustracciones y un símbolo geométrico que represente un número desconocido, en forma pictórica y simbólica del 0 al 100.",Resolver ecuaciones de un paso que involucren adiciones y sustracciones y un símbolo geométrico que ...,3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
MA03OA14,Describir la localización de un objeto en un mapa simple o cuadrícula.,Describir la localización de un objeto en un mapa simple o cuadrícula.,3B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.505480
MA03OA15,Demostrar que comprenden la relación que existe entre figuras 3D y figuras 2D:,Demostrar que comprenden la relación que existe entre figuras 3D y figuras 2D:,3B,MAT,Aplicar,espacial,2023,1,3,4,normal,False,2025-07-07T16:13:46.505480
MA03OA16,"Describir cubos, paralelepípedos, esferas, conos, cilindros y pirámides de acuerdo a la forma de sus caras y el número de aristas y vértices.","Describir cubos, paralelepípedos, esferas, conos, cilindros y pirámides de acuerdo a la forma de sus...",3B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.505480
MA03OA17,"Reconocer en el entorno figuras 2D que están trasladadas, reflejadas y rotadas.","Reconocer en el entorno figuras 2D que están trasladadas, reflejadas y rotadas.",3B,MAT,Recordar,espacial,2023,1,1,4,normal,False,2025-07-07T16:13:46.505480
MA03OA18,Demostrar que comprenden el concepto de ángulo:,Demostrar que comprenden el concepto de ángulo:,3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA03OA19,Leer e interpretar líneas de tiempo y calendarios.,Leer e interpretar líneas de tiempo y calendarios.,3B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.506755
MA03OA20,"Leer y registrar el tiempo en horas, medias horas, cuartos de hora y minutos en relojes análogos y digitales.","Leer y registrar el tiempo en horas, medias horas, cuartos de hora y minutos en relojes análogos y d...",3B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.506755
MA03OA21,Demostrar que comprenden el perímetro de una figura regular e irregular:,Demostrar que comprenden el perímetro de una figura regular e irregular:,3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA03OA22,Demostrar que comprende la medición del peso (g y kg):,Demostrar que comprende la medición del peso (g y kg):,3B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA03OA23,Realizar encuestas y clasificar y organizar los datos obtenidos en tablas y visualizarlos en gráficos de barra.,Realizar encuestas y clasificar y organizar los datos obtenidos en tablas y visualizarlos en gráfico...,3B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.506755
MA03OA24,"Registrar y ordenar datos obtenidos de juegos aleatorios con dados y monedas, encontrando el menor, el mayor y estimando el punto medio entre ambos.","Registrar y ordenar datos obtenidos de juegos aleatorios con dados y monedas, encontrando el menor, ...",3B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.506755
MA03OA25,"Construir, leer e interpretar pictogramas y gráficos de barra simple con escala, en base a información recolectada o dada.","Construir, leer e interpretar pictogramas y gráficos de barra simple con escala, en base a informaci...",3B,MAT,Crear,memorizar,2023,1,4,4,normal,False,2025-07-07T16:13:46.506755
MA04OA01,Representar y describir números del 0 al 10 000:,Representar y describir números del 0 al 10 000:,4B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.506755
MA04OA02,Describir y aplicar estrategias de cálculo mental:,Describir y aplicar estrategias de cálculo mental:,4B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.506755
MA04OA03,Demostrar que comprenden la adición y la sustracción de números hasta 1 000:,Demostrar que comprenden la adición y la sustracción de números hasta 1 000:,4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA04OA04,Fundamentar y aplicar las propiedades del 0 y del 1 para la multiplicación y la propiedad del 1 para la división.,Fundamentar y aplicar las propiedades del 0 y del 1 para la multiplicación y la propiedad del 1 para...,4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA04OA05,Demostrar que comprenden la multiplicación de números de tres dígitos por números de un dígito:,Demostrar que comprenden la multiplicación de números de tres dígitos por números de un dígito:,4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA04OA06,Demostrar que comprenden la división con dividendos de dos dígitos y divisores de un dígito:,Demostrar que comprenden la división con dividendos de dos dígitos y divisores de un dígito:,4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA04OA07,"Resolver problemas rutinarios y no rutinarios en contextos cotidianos que incluyen dinero, seleccionando y utilizando la operación apropiada.","Resolver problemas rutinarios y no rutinarios en contextos cotidianos que incluyen dinero, seleccion...",4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA04OA08,"Demostrar que comprende las fracciones con denominadores 100, 12, 10, 8, 6, 5, 4, 3, 2:","Demostrar que comprende las fracciones con denominadores 100, 12, 10, 8, 6, 5, 4, 3, 2:",4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA04OA09,"Resolver adiciones y sustracciones de fracciones con igual denominador (denominadores 100, 12, 10, 8, 6, 5, 4, 3, 2) de manera concreta y pictórica en el contexto de la resolución de problemas.","Resolver adiciones y sustracciones de fracciones con igual denominador (denominadores 100, 12, 10, 8...",4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.506755
MA04OA10,"Identificar, escribir y representar fracciones propias y los números mixtos hasta el 5 de manera concreta, pictórica y simbólica, en el contexto de la resolución de problemas.","Identificar, escribir y representar fracciones propias y los números mixtos hasta el 5 de manera con...",4B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.506755
MA04OA11,Describir y representar decimales (décimos y centésimos):,Describir y representar decimales (décimos y centésimos):,4B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.507979
MA04OA12,"Resolver adiciones y sustracciones de decimales, empleando el valor posicional hasta la centésima en el contexto de la resolución de problemas.","Resolver adiciones y sustracciones de decimales, empleando el valor posicional hasta la centésima en...",4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.507979
MA04OA13,"Identificar y describir patrones numéricos en tablas que involucren una operación, de manera manual y/o usando software educativo.","Identificar y describir patrones numéricos en tablas que involucren una operación, de manera manual ...",4B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.507979
MA04OA14,"Resolver ecuaciones e inecuaciones de un paso que involucren adiciones y sustracciones, comprobando los resultados en forma pictórica y simbólica del 0 al 100 y aplicando las relaciones inversas entre la adición y la sustracción.","Resolver ecuaciones e inecuaciones de un paso que involucren adiciones y sustracciones, comprobando ...",4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.507979
MA04OA15,"Describir la localización absoluta de un objeto en un mapa simple con coordenadas informales (por ejemplo con letras y números), y la localización relativa en relación a otros objetos.",Describir la localización absoluta de un objeto en un mapa simple con coordenadas informales (por ej...,4B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.507979
MA04OA16,"Determinar las vistas de figuras 3D, desde el frente, desde el lado y desde arriba.","Determinar las vistas de figuras 3D, desde el frente, desde el lado y desde arriba.",4B,MAT,Analizar,espacial,2023,1,4,4,normal,False,2025-07-07T16:13:46.507979
MA04OA17,Demostrar que comprenden una línea de simetría:,Demostrar que comprenden una línea de simetría:,4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.507979
MA04OA18,"Trasladar, rotar y reflejar figuras 2D.","Trasladar, rotar y reflejar figuras 2D.",4B,MAT,Recordar,espacial,2023,1,1,4,normal,False,2025-07-07T16:13:46.507979
MA04OA19,Construir ángulos con el transportador y compararlos.,Construir ángulos con el transportador y compararlos.,4B,MAT,Crear,mantener,2023,1,5,4,normal,False,2025-07-07T16:13:46.507979
MA04OA20,"Leer y registrar diversas mediciones del tiempo en relojes análogos y digitales, usando los conceptos A.M., P.M. y 24 horas.","Leer y registrar diversas mediciones del tiempo en relojes análogos y digitales, usando los concepto...",4B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.507979
MA04OA21,"Realizar conversiones entre unidades de tiempo en el contexto de la resolución de problemas: el número de segundos en un minuto, el número de minutos en una hora, el número de días en un mes y el número de meses en un año.",Realizar conversiones entre unidades de tiempo en el contexto de la resolución de problemas: el núme...,4B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.507979
MA04OA22,"Medir longitudes con unidades estandarizadas (m, cm) y realizar transformaciones entre estas unidades (m a cm y viceversa) en el contexto de la resolución de problemas.","Medir longitudes con unidades estandarizadas (m, cm) y realizar transformaciones entre estas unidade...",4B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.509019
MA04OA23,Demostrar que comprenden el concepto de área de un rectángulo y de un cuadrado:,Demostrar que comprenden el concepto de área de un rectángulo y de un cuadrado:,4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.509019
MA04OA24,Demostrar que comprenden el concepto de volumen de un cuerpo:,Demostrar que comprenden el concepto de volumen de un cuerpo:,4B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.509019
MA04OA25,"Realizar encuestas, analizar los datos, comparar con los resultados de muestras aleatorias, usando tablas y gráficos.","Realizar encuestas, analizar los datos, comparar con los resultados de muestras aleatorias, usando t...",4B,MAT,Analizar,mantener,2023,1,4,4,normal,False,2025-07-07T16:13:46.509019
MA05OA01,Representar y describir números naturales de hasta más de 6 dígitos y menores que 1 000 millones:,Representar y describir números naturales de hasta más de 6 dígitos y menores que 1 000 millones:,5B,MAT,Comprender,mantener,2023,1,2,4,normal,False,2025-07-07T16:13:46.509019
MA05OA02,Aplicar estrategias de cálculo mental para la multiplicación:,Aplicar estrategias de cálculo mental para la multiplicación:,5B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.509019
MA05OA03,Demostrar que comprenden la multiplicación de números naturales de dos dígitos por números naturales de dos dígitos:,Demostrar que comprenden la multiplicación de números naturales de dos dígitos por números naturales...,5B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.509019
MA05OA04,Demostrar que comprenden la división con dividendos de tres dígitos y divisores de un dígito:,Demostrar que comprenden la división con dividendos de tres dígitos y divisores de un dígito:,5B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.509019
MA05OA05,"Realizar cálculos que involucren las cuatro operaciones, aplicando las reglas relativas a paréntesis y la prevalencia de la multiplicación y la división por sobre la adición y la sustracción cuando corresponda.","Realizar cálculos que involucren las cuatro operaciones, aplicando las reglas relativas a paréntesis...",5B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.509019
MA05OA06,Resolver problemas rutinarios y no rutinarios que involucren las cuatro operaciones y combinaciones de ellas:,Resolver problemas rutinarios y no rutinarios que involucren las cuatro operaciones y combinaciones ...,5B,MAT,Aplicar,mantener,2023,1,3,4,normal,False,2025-07-07T16:13:46.509019
MA05OA07,Simplificar y amplificar fracciones propias,Simplificar y amplificar fracciones propias,5B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.509019
MA05OA08,Fracciones impropias y números mixtos,Fracciones impropias y números mixtos,5B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.509019
MA05OA09,Adición y sustracción de fracciones,Adición y sustracción de fracciones,5B,MAT,Recordar,mantener,2023,1,1,4,normal,False,2025-07-07T16:13:46.509019
MA05OA10,"Determinar el decimal que corresponde a fracciones con denominador 2, 4, 5 y 10.","Determinar el decimal que corresponde a fracciones con denominador 2, 4, 5 y 10.",5B,MAT,Analizar,mantener,2023,1,4,4,normal,False,2025-07-07T16:13:46.509019
